Input.content,Answer.sentiment
"{RT @CNNPolitics: Nigel Farage and Donald Trump have a ""very productive"" meeting at Trump Tower }",Positive
"{RT @CNNPolitics: Nigel Farage and Donald Trump have a ""very productive"" meeting at Trump Tower }",Positive
"{RT @CNNPolitics: Nigel Farage and Donald Trump have a ""very productive"" meeting at Trump Tower }",Positive
"{RT @CNNPolitics: Nigel Farage and Donald Trump have a ""very productive"" meeting at Trump Tower }",Positive
{Chappelle is right: Trump needs to earn our support },Negative
{Chappelle is right: Trump needs to earn our support },Positive
{Chappelle is right: Trump needs to earn our support },Positive
{Chappelle is right: Trump needs to earn our support },Positive
"{After Trump win, New Yorkers volunteer to aid fearful commuters }",Negative
"{After Trump win, New Yorkers volunteer to aid fearful commuters }",Positive
"{After Trump win, New Yorkers volunteer to aid fearful commuters }",Positive
"{After Trump win, New Yorkers volunteer to aid fearful commuters }",Negative
"{RT @CNNPolitics: Speaker Ryan: ""We are not planning on erecting a deportation force"" }",Positive
"{RT @CNNPolitics: Speaker Ryan: ""We are not planning on erecting a deportation force"" }",Positive
"{RT @CNNPolitics: Speaker Ryan: ""We are not planning on erecting a deportation force"" }",Negative
"{RT @CNNPolitics: Speaker Ryan: ""We are not planning on erecting a deportation force"" }",Negative
{Sources: Trump is expected to pick Reince Priebus as White House chief of staff },Positive
{Sources: Trump is expected to pick Reince Priebus as White House chief of staff },Positive
{Sources: Trump is expected to pick Reince Priebus as White House chief of staff },Positive
{Sources: Trump is expected to pick Reince Priebus as White House chief of staff },Positive
{Inside Donald Trump's America: What the newly minted US President-elect has promised },Positive
{Inside Donald Trump's America: What the newly minted US President-elect has promised },Positive
{Inside Donald Trump's America: What the newly minted US President-elect has promised },Positive
{Inside Donald Trump's America: What the newly minted US President-elect has promised },Positive
{Trump's attorneys ask for the Trump University trial to be postponed until after his swearing-in… },Negative
{Trump's attorneys ask for the Trump University trial to be postponed until after his swearing-in… },Negative
{Trump's attorneys ask for the Trump University trial to be postponed until after his swearing-in… },Negative
{Trump's attorneys ask for the Trump University trial to be postponed until after his swearing-in… },Negative
"{""You need to back off"": Van Jones, Trump supporter clash }",Negative
"{""You need to back off"": Van Jones, Trump supporter clash }",Positive
"{""You need to back off"": Van Jones, Trump supporter clash }",Negative
"{""You need to back off"": Van Jones, Trump supporter clash }",Negative
"{RT @CNNPolitics: Carl Icahn supports Trump, but he doesn't agree with all of the President-elect's policies }",Negative
"{RT @CNNPolitics: Carl Icahn supports Trump, but he doesn't agree with all of the President-elect's policies }",Negative
"{RT @CNNPolitics: Carl Icahn supports Trump, but he doesn't agree with all of the President-elect's policies }",Positive
"{RT @CNNPolitics: Carl Icahn supports Trump, but he doesn't agree with all of the President-elect's policies }",Negative
"{American Muslims express shock, fear and resolve after US presidential election }",Negative
"{American Muslims express shock, fear and resolve after US presidential election }",Negative
"{American Muslims express shock, fear and resolve after US presidential election }",Negative
"{American Muslims express shock, fear and resolve after US presidential election }",Negative
{President-elect Donald Trump is continuing his battle with one of the country's biggest news outlets… },Negative
{President-elect Donald Trump is continuing his battle with one of the country's biggest news outlets… },Negative
{President-elect Donald Trump is continuing his battle with one of the country's biggest news outlets… },Negative
{President-elect Donald Trump is continuing his battle with one of the country's biggest news outlets… },Positive
{The scene as anti-Trump protesters gather in downtown Chicago },Negative
{The scene as anti-Trump protesters gather in downtown Chicago },Negative
{The scene as anti-Trump protesters gather in downtown Chicago },Negative
{The scene as anti-Trump protesters gather in downtown Chicago },Negative
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",Positive
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",Negative
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",Positive
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Reporter's notebook: The Donald Trump victory we didn't see coming },Negative
{Reporter's notebook: The Donald Trump victory we didn't see coming },Negative
{Reporter's notebook: The Donald Trump victory we didn't see coming },Negative
{Reporter's notebook: The Donald Trump victory we didn't see coming },Negative
{Mexico is stunned by Donald Trump's US presidential election win },Negative
{Mexico is stunned by Donald Trump's US presidential election win },Negative
{Mexico is stunned by Donald Trump's US presidential election win },Negative
{Mexico is stunned by Donald Trump's US presidential election win },Negative
{New York protester on Donald Trump: I came to the US to get away from people like that },Negative
{New York protester on Donald Trump: I came to the US to get away from people like that },Positive
{New York protester on Donald Trump: I came to the US to get away from people like that },Positive
{New York protester on Donald Trump: I came to the US to get away from people like that },Negative
{RT @CNNMoney: Similar positions on trade could help the UAW and Trump become allies. },Negative
{RT @CNNMoney: Similar positions on trade could help the UAW and Trump become allies. },Positive
{RT @CNNMoney: Similar positions on trade could help the UAW and Trump become allies. },Positive
{RT @CNNMoney: Similar positions on trade could help the UAW and Trump become allies. },Positive
"{State-by-state, this is how Donald Trump won }",Positive
"{State-by-state, this is how Donald Trump won }",Negative
"{State-by-state, this is how Donald Trump won }",Positive
"{State-by-state, this is how Donald Trump won }",Positive
{The secret Trump support that helped him win },Positive
